Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: Z:\POISSONSUPERFISH\SF7.EXE
SF.INI file: Z:\tmp\psf\e9be9084-f82c-4f01-8db9-825e5981f989\SF.INI 11-05-2020   2:53:34
Solution file Z:\TMP\PSF\E9BE9084-F82C-4F01-8DB9-825E5981F989\SWIFEL_7.000_9.170_36.000_5.531_9.819_30.000_2.000_5469.T35.
Memory used for SWIFEL_7.000_9.170_36.000_5.531_9.819_30.000_2.000_5469.T35 arrays:       8.857 M
Reading keyword commands and data from file:
SWIFEL_7.000_9.170_36.000_5.531_9.819_30.000_2.000_5469.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (50,0.0)
(Zmax,Rmax) = (70,3)
Z and R increments:    99    19
EZERO computed by SFO =    0.79521E+07 MV/m
Interpolated fields normalized to E0 =    0.79521E+07 MV/m

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   50.0000       0.00000      3.027391E+01  0.000000E+00  3.027391E+01  0.000000E+00
   50.2020       0.00000      3.022788E+01  0.000000E+00  3.022788E+01  0.000000E+00
   50.4040       0.00000      3.009489E+01  0.000000E+00  3.009489E+01  0.000000E+00
   50.6061       0.00000      2.988860E+01  0.000000E+00  2.988860E+01  0.000000E+00
   50.8081       0.00000      2.962515E+01  0.000000E+00  2.962515E+01  0.000000E+00
   51.0101       0.00000      2.932003E+01  0.000000E+00  2.932003E+01  0.000000E+00
   51.2121       0.00000      2.898601E+01  0.000000E+00  2.898601E+01  0.000000E+00
   51.4141       0.00000      2.863291E+01  0.000000E+00  2.863291E+01  0.000000E+00
   51.6162       0.00000      2.826803E+01  0.000000E+00  2.826803E+01  0.000000E+00
   51.8182       0.00000      2.789671E+01  0.000000E+00  2.789671E+01  0.000000E+00
   52.0202       0.00000      2.752226E+01  0.000000E+00  2.752226E+01  0.000000E+00
   52.2222       0.00000      2.714851E+01  0.000000E+00  2.714851E+01  0.000000E+00
   52.4242       0.00000      2.677598E+01  0.000000E+00  2.677598E+01  0.000000E+00
   52.6263       0.00000      2.640613E+01  0.000000E+00  2.640613E+01  0.000000E+00
   52.8283       0.00000      2.603937E+01  0.000000E+00  2.603937E+01  0.000000E+00
   53.0303       0.00000      2.567325E+01  0.000000E+00  2.567325E+01  0.000000E+00
   53.2323       0.00000      2.531449E+01  0.000000E+00  2.531449E+01  0.000000E+00
   53.4343       0.00000      2.495187E+01  0.000000E+00  2.495187E+01  0.000000E+00
   53.6364       0.00000      2.458810E+01  0.000000E+00  2.458810E+01  0.000000E+00
   53.8384       0.00000      2.422011E+01  0.000000E+00  2.422011E+01  0.000000E+00
   54.0404       0.00000      2.384467E+01  0.000000E+00  2.384467E+01  0.000000E+00
   54.2424       0.00000      2.345728E+01  0.000000E+00  2.345728E+01  0.000000E+00
   54.4444       0.00000      2.305199E+01  0.000000E+00  2.305199E+01  0.000000E+00
